date,desc,ref,debit,credit,balance,flagged,category
2025-02-07,MYNTRA DESIGNS - UPI/NEFT,642353693785,0.0,11845.72,33075.99,False,Uncategorized
2025-02-08,STARBUCKS INDIA - UPI/NEFT,772522872808,22064.66,0.0,11011.33,False,Uncategorized
2025-02-08,FLIPKART INTERNET - UPI/NEFT,062312038750,3483.72,0.0,7527.61,False,Shopping / Groceries
2025-02-09,AMAZON RETAIL - UPI/NEFT,088600848408,2094.09,0.0,5433.52,False,Shopping / Groceries
2025-02-11,SNEHA RAO - UPI/NEFT,233984546156,1507.49,0.0,3926.03,False,Uncategorized
2025-02-12,GROWW MUTUAL FUND - UPI/NEFT,101666870021,417.98,0.0,3508.05,False,Uncategorized
2025-02-13,ZOMATO ONLINE - UPI/NEFT,803397401489,465.93,0.0,3042.12,False,Food & Dining
2025-02-15,IRCTC RAIL TICKET - UPI/NEFT,926142939685,0.0,41805.17,44847.29,False,Uncategorized
2025-02-16,STARBUCKS INDIA - UPI/NEFT,185016315999,6426.78,0.0,38420.51,False,Uncategorized
2025-02-17,URBAN CLAP SERVICES - UPI/NEFT,773586629619,14787.99,0.0,23632.52,False,Uncategorized
2025-02-18,CAFE COFFEE DAY - UPI/NEFT,265511047541,1666.32,0.0,21966.2,False,Uncategorized
2025-02-18,LIC PREMIUM - UPI/NEFT,610158199560,0.0,19479.43,41445.63,False,Uncategorized
2025-02-19,PVR CINEMAS - UPI/NEFT,398262244472,35095.73,0.0,6349.9,False,Uncategorized
2025-02-19,URBAN CLAP SERVICES - UPI/NEFT,154379937124,0.0,12526.89,18876.79,False,Uncategorized
2025-02-19,URBAN CLAP SERVICES - UPI/NEFT,575692459375,15049.94,0.0,3826.85,False,Uncategorized
2025-02-19,STAR HEALTH INSURANCE - UPI/NEFT,935646519398,470.17,0.0,3356.68,False,Uncategorized
2025-02-19,CAFE COFFEE DAY - UPI/NEFT,374167243426,967.57,0.0,2389.11,False,Uncategorized
2025-02-20,OLA CABS - UPI/NEFT,886805891135,0.0,44582.92,46972.03,False,Transport
2025-02-20,INDIAN OIL FUEL - UPI/NEFT,656101438889,2136.71,0.0,44835.32,False,Uncategorized
2025-02-22,DECATHLON SPORTS - UPI/NEFT,982507146112,20143.17,0.0,24692.15,False,Uncategorized
2025-02-23,STAR HEALTH INSURANCE - UPI/NEFT,571775140105,20571.67,0.0,4120.48,False,Uncategorized
2025-02-25,STARBUCKS INDIA - UPI/NEFT,382825867362,0.0,36032.25,40152.73,False,Uncategorized
2025-02-25,MEERA REDDY - UPI/NEFT,796603341918,19531.23,0.0,20621.5,False,Uncategorized
2025-02-25,SWATI AGARWAL - UPI/NEFT,859696915579,8988.78,0.0,11632.72,False,Uncategorized
2025-02-25,SWIGGY BANGALORE - UPI/NEFT,251341252866,1446.66,0.0,10186.06,False,Food & Dining
2025-02-26,PETROL PUMP HP - UPI/NEFT,828274225790,0.0,17359.39,27545.45,False,Uncategorized
2025-02-27,OLA CABS - UPI/NEFT,887676772190,21884.71,0.0,5660.74,False,Transport
2025-02-27,APOLLO PHARMACY - UPI/NEFT,978819148580,1043.85,0.0,4616.89,False,Uncategorized
2025-03-01,PETROL PUMP HP - UPI/NEFT,340745171339,721.57,0.0,3895.32,False,Uncategorized
2025-03-03,BIGBASKET - UPI/NEFT,330958498254,810.98,0.0,3084.34,False,Shopping / Groceries
2025-03-04,ZERODHA SECURITIES - UPI/NEFT,126042232536,550.87,0.0,2533.47,False,Uncategorized
2025-03-05,OLA CABS - UPI/NEFT,711684577590,0.0,28513.23,31046.7,False,Transport
2025-03-07,CAFE COFFEE DAY - UPI/NEFT,518636374545,0.0,43750.94,74797.64,False,Uncategorized
2025-03-08,NETFLIX ENTERTAINMENT - UPI/NEFT,001701277063,25541.47,0.0,49256.17,False,Uncategorized
2025-03-10,GROWW MUTUAL FUND - UPI/NEFT,415415206436,39714.33,0.0,9541.84,False,Uncategorized
2025-03-12,SWIGGY BANGALORE - UPI/NEFT,293870051627,0.0,4418.99,13960.83,False,Food & Dining
2025-03-12,ZOMATO ONLINE - UPI/NEFT,554262218909,0.0,4156.5,18117.33,False,Food & Dining
2025-03-14,STARBUCKS INDIA - UPI/NEFT,269731121965,0.0,15900.77,34018.1,False,Uncategorized
2025-03-15,SWIGGY BANGALORE - UPI/NEFT,389994043898,6421.38,0.0,27596.72,False,Food & Dining
2025-03-15,RAJESH NAIR - UPI/NEFT,761379180552,13405.06,0.0,14191.66,False,Uncategorized
2025-03-16,DECATHLON SPORTS - UPI/NEFT,710910430068,2006.04,0.0,12185.62,False,Uncategorized
2025-03-17,SWIGGY BANGALORE - UPI/NEFT,889241418328,1874.86,0.0,10310.76,False,Food & Dining
2025-03-18,SWIGGY BANGALORE - UPI/NEFT,463031617990,2666.69,0.0,7644.07,False,Food & Dining
2025-03-19,VIKRAM SHARMA - UPI/NEFT,275884252410,717.87,0.0,6926.2,False,Uncategorized
2025-03-20,MYNTRA DESIGNS - UPI/NEFT,177850792524,456.91,0.0,6469.29,False,Uncategorized
2025-03-20,AMAZON RETAIL - UPI/NEFT,003075622086,510.0,0.0,5959.29,False,Shopping / Groceries
2025-03-20,SWIGGY BANGALORE - UPI/NEFT,951802380617,1371.07,0.0,4588.22,False,Food & Dining
2025-03-21,UBER TRIP - UPI/NEFT,349493759738,328.5,0.0,4259.72,False,Transport
2025-03-21,DEEPA CHOPRA - UPI/NEFT,050641383670,0.0,41968.03,46227.75,False,Uncategorized
2025-03-21,PAYTM WALLET - UPI/NEFT,865719182619,4322.24,0.0,41905.51,False,Uncategorized
2025-03-22,POOJA IYER - UPI/NEFT,565574313291,0.0,29860.61,71766.12,False,Uncategorized
2025-03-22,ZOMATO ONLINE - UPI/NEFT,853747411249,0.0,20313.07,92079.19,False,Food & Dining
2025-03-22,RAKESH NAIR - UPI/NEFT,568044206788,0.0,38567.31,130646.5,False,Uncategorized
2025-03-22,ZOMATO ONLINE - UPI/NEFT,003236519941,0.0,4720.54,135367.04,False,Food & Dining
2025-03-22,URBAN CLAP SERVICES - UPI/NEFT,215107029667,9019.1,0.0,126347.94,False,Uncategorized
2025-03-22,PHONEPE MERCHANT - UPI/NEFT,244720999347,19285.88,0.0,107062.06,False,Uncategorized
2025-03-23,SURESH KUMAR - UPI/NEFT,638380657875,21634.54,0.0,85427.52,False,Uncategorized
