date,desc,ref,debit,credit,balance,flagged,category
2025-02-10,BIGBASKET,429543165266,377.03,0.0,1937.83,False,Shopping / Groceries
2025-02-11,PETROL PUMP HP,931734206969,0.0,42672.7,44610.53,False,Uncategorized
2025-02-12,MYNTRA DESIGNS,108677133344,0.0,43117.77,87728.3,False,Uncategorized
2025-02-14,NYKAA ECOMM,343626204439,5989.44,0.0,81738.86,False,Uncategorized
2025-02-15,APOLLO PHARMACY,107256366941,16728.25,0.0,65010.61,False,Uncategorized
2025-02-15,STAR HEALTH INSURANCE,599004896465,2487.25,0.0,62523.36,False,Uncategorized
2025-02-15,AIRTEL PREPAID,287572158624,25246.28,0.0,37277.08,False,Mobile & Recharge
2025-02-15,AIRTEL PREPAID,564494856257,6516.13,0.0,30760.95,False,Mobile & Recharge
2025-02-15,IRCTC RAIL TICKET,203207427617,6434.05,0.0,24326.9,False,Uncategorized
2025-02-15,ZOMATO ONLINE,215134228499,4627.31,0.0,19699.59,False,Food & Dining
2025-02-15,DMART RETAIL,137150416591,3575.55,0.0,16124.04,False,Shopping / Groceries
2025-02-16,INDIAN OIL FUEL,774905097592,0.0,3785.69,19909.73,False,Uncategorized
2025-02-16,STARBUCKS INDIA,189616423610,2403.87,0.0,17505.86,False,Uncategorized
2025-02-16,DECATHLON SPORTS,214764925158,0.0,35110.24,52616.1,False,Uncategorized
2025-02-16,MYNTRA DESIGNS,961659266108,39860.77,0.0,12755.33,False,Uncategorized
2025-02-17,PHONEPE MERCHANT,788147617422,2702.89,0.0,10052.44,False,Uncategorized
2025-02-19,FLIPKART INTERNET,810818661794,1817.21,0.0,8235.23,False,Shopping / Groceries
2025-02-20,ZOMATO ONLINE,722601645977,0.0,3817.36,12052.59,False,Food & Dining
2025-02-21,IRCTC RAIL TICKET,219416800610,3369.04,0.0,8683.55,False,Uncategorized
2025-02-21,STARBUCKS INDIA,974995641220,1313.59,0.0,7369.96,False,Uncategorized
2025-02-21,GROWW MUTUAL FUND,037236831472,0.0,862.45,8232.41,False,Uncategorized
2025-02-22,STARBUCKS INDIA,777079334960,5373.18,0.0,2859.23,False,Uncategorized
2025-02-23,DMART RETAIL,799840767899,0.0,28423.88,31283.11,False,Shopping / Groceries
2025-02-25,RAHUL KAPOOR,958146717957,3377.84,0.0,27905.27,False,Uncategorized
2025-02-27,STAR HEALTH INSURANCE,573839597246,7385.8,0.0,20519.47,False,Uncategorized
2025-02-28,URBAN CLAP SERVICES,293417223297,4794.3,0.0,15725.17,False,Uncategorized
2025-02-28,PVR CINEMAS,005452280156,2727.24,0.0,12997.93,False,Uncategorized
2025-02-28,AIRTEL PREPAID,550842891077,5562.86,0.0,7435.07,False,Mobile & Recharge
2025-02-28,ZOMATO ONLINE,808121352478,1504.96,0.0,5930.11,False,Food & Dining
2025-03-01,NETFLIX ENTERTAINMENT,213760375482,4603.35,0.0,1326.76,False,Uncategorized
2025-03-01,PETROL PUMP HP,328632666785,0.0,32226.71,33553.47,False,Uncategorized
2025-03-01,SWIGGY BANGALORE,155626060290,7697.38,0.0,25856.09,False,Food & Dining
2025-03-03,DMART RETAIL,684550489267,6954.08,0.0,18902.01,False,Shopping / Groceries
2025-03-05,PETROL PUMP HP,756341085628,0.0,24567.47,43469.48,False,Uncategorized
2025-03-06,LIC PREMIUM,520089434681,4312.96,0.0,39156.52,False,Uncategorized
2025-03-08,UBER TRIP,101749075399,0.0,16878.1,56034.62,False,Transport
2025-03-10,NYKAA ECOMM,354492683158,28304.33,0.0,27730.29,False,Uncategorized
2025-03-11,BIGBASKET,661106273715,0.0,35067.95,62798.24,False,Shopping / Groceries
2025-03-13,OLA CABS,497677622827,26532.54,0.0,36265.7,False,Transport
2025-03-15,CAFE COFFEE DAY,377028519611,6466.04,0.0,29799.66,False,Uncategorized
2025-03-16,UBER TRIP,454470229604,1956.65,0.0,27843.01,False,Transport
2025-03-17,ZOMATO ONLINE,851067949756,0.0,36887.76,64730.77,False,Food & Dining
2025-03-18,VIKRAM RAO,777251996636,37540.7,0.0,27190.07,False,Uncategorized
2025-03-19,PETROL PUMP HP,120948181398,7409.59,0.0,19780.48,False,Uncategorized
2025-03-20,LIC PREMIUM,018204339718,3569.16,0.0,16211.32,False,Uncategorized
2025-03-21,NETFLIX ENTERTAINMENT,626085641118,2802.42,0.0,13408.9,False,Uncategorized
2025-03-21,BIGBASKET,462095200461,8342.7,0.0,5066.2,False,Shopping / Groceries
2025-03-22,ZERODHA SECURITIES,103399378861,0.0,40201.54,45267.74,False,Uncategorized
2025-03-23,STAR HEALTH INSURANCE,063048913824,0.0,20997.34,66265.08,False,Uncategorized
2025-03-24,IRCTC RAIL TICKET,258238687007,3913.29,0.0,62351.79,False,Uncategorized
2025-03-25,PALLAVI AGARWAL,494653984028,43747.87,0.0,18603.92,False,Uncategorized
