date,desc,ref,debit,credit,balance,category
2026-01-07,POS/VISA/BIGBASKET,226750596909,2040.78,0.0,190700.24,Shopping / Groceries
2026-01-08,UPI/DR/6918744/Neha/Anjali@paytm,101872852789,1569.36,0.0,189130.88,UPI - Sent
2026-01-08,BIL/INB/ELECTRICITY UPPCL/890809,446273815783,2158.47,0.0,186972.41,Utilities
2026-01-09,UPI/DR/7068602/Amit/Neha@paytm,458236319765,1219.15,0.0,185753.26,UPI - Sent
2026-01-11,POS/VISA/JIO RECHARGE,775057307204,2776.42,0.0,182976.84,Mobile & Recharge
2026-01-11,UPI/DR/4549992/Kavita/Kavita@paytm,965134782024,1748.35,0.0,181228.49,UPI - Sent
2026-01-11,UPI/CR/4096018/Anjali/Payment,910872751961,0.0,1263.61,182492.1,UPI - Received
2026-01-12,POS/VISA/AMAZON PAY,985728087295,1296.52,0.0,181195.58,Shopping / Groceries
2026-01-12,BIL/INB/ELECTRICITY UPPCL/795295,180610047913,1638.54,0.0,179557.04,Utilities
2026-01-12,POS/VISA/AMAZON PAY,540209997973,1475.94,0.0,178081.1,Shopping / Groceries
2026-01-13,UPI/DR/3729769/Priya/Kavita@okaxis,669924601388,1404.36,0.0,176676.74,UPI - Sent
2026-01-14,UPI/CR/7719157/Suresh/Payment,755235594840,0.0,1927.84,178604.58,UPI - Received
2026-01-15,POS/VISA/ZOMATO,595959950216,1536.77,0.0,177067.81,Food & Dining
2026-01-17,UPI/CR/4165972/Neha/Payment,401675263897,0.0,2479.43,179547.24,UPI - Received
2026-01-18,UPI/DR/5219000/Amit/Neha@okhdfcbank,188219282055,432.35,0.0,179114.89,UPI - Sent
2026-01-19,UPI/DR/5631387/Suresh/Rahul@sbi,557267663034,205.55,0.0,178909.34,UPI - Sent
2026-01-20,UPI/DR/6902102/Neha/Kavita@okaxis,427928307068,2265.36,0.0,176643.98,UPI - Sent
2026-01-22,UPI/CR/5458096/Amit/Payment,471037316428,0.0,3509.93,180153.91,UPI - Received
2026-01-23,BIL/INB/ELECTRICITY UPPCL/721017,128063847324,2767.32,0.0,177386.59,Utilities
2026-01-23,POS/VISA/JIO RECHARGE,299551475357,701.14,0.0,176685.45,Mobile & Recharge
2026-01-24,UPI/CR/9258288/Suresh/Payment,934673209247,0.0,4458.38,181143.83,UPI - Received
2026-01-25,UPI/CR/4863405/Neha/Payment,695922521544,0.0,734.39,181878.22,UPI - Received
2026-01-26,UPI/DR/2701723/Neha/Amit@paytm,320105405793,2520.9,0.0,179357.32,UPI - Sent
2026-01-26,BIL/INB/ELECTRICITY UPPCL/281973,870796451736,1140.61,0.0,178216.71,Utilities
2026-01-26,BIL/INB/ELECTRICITY UPPCL/732700,736119440405,564.2,0.0,177652.51,Utilities
2026-01-27,BIL/INB/ELECTRICITY UPPCL/790762,182456198537,1980.24,0.0,175672.27,Utilities
2026-01-28,POS/VISA/BIGBASKET,760068866484,3722.11,0.0,171950.16,Shopping / Groceries
2026-01-28,UPI/CR/4764433/Rahul/Payment,506568138339,0.0,810.31,172760.47,UPI - Received
2026-01-29,UPI/DR/6060704/Amit/Suresh@okaxis,499263542423,1914.04,0.0,170846.43,UPI - Sent
2026-01-31,NEFT/TECH MAHINDRA/SALARY CREDIT,952714959642,0.0,66757.39,237603.82,Salary / Income
2026-02-01,UPI/CR/3682241/Kavita/Payment,198503450940,0.0,1755.18,239359.0,UPI - Received
2026-02-02,UPI/DR/4874581/Rohan/Anjali@ybl,460137100173,561.88,0.0,238797.12,UPI - Sent
2026-02-04,UPI/DR/5497692/Kavita/Neha@icici,310230327999,275.13,0.0,238521.99,UPI - Sent
2026-02-05,POS/VISA/UBER,969508288813,568.97,0.0,237953.02,Transport
2026-02-05,POS/VISA/AIRTEL,827164617915,2826.22,0.0,235126.8,Mobile & Recharge
2026-02-07,BIL/INB/ELECTRICITY UPPCL/398301,463141153357,1379.53,0.0,233747.27,Utilities
2026-02-08,UPI/DR/6916011/Amit/Neha@okaxis,313551290143,960.33,0.0,232786.94,UPI - Sent
2026-02-09,POS/VISA/UBER,937418150636,2598.55,0.0,230188.39,Transport
2026-02-09,UPI/DR/6871564/Amit/Rohan@okhdfcbank,294823500706,920.76,0.0,229267.63,UPI - Sent
2026-02-10,UPI/DR/6401041/Priya/Rahul@sbi,241493787493,1920.85,0.0,227346.78,UPI - Sent
2026-02-11,UPI/CR/6276870/Priya/Payment,303326783773,0.0,4844.74,232191.52,UPI - Received
2026-02-11,UPI/CR/2638604/Rohan/Payment,793968021638,0.0,3589.03,235780.55,UPI - Received
2026-02-11,UPI/DR/7820010/Neha/Suresh@paytm,558549792976,1826.83,0.0,233953.72,UPI - Sent
2026-02-13,NEFT/CR/HDFC751194/FUNDS TRANSFER,572403587152,0.0,11107.6,245061.32,Bank Transfer - Credit
2026-02-13,BIL/INB/ELECTRICITY UPPCL/826986,330909197611,2063.79,0.0,242997.53,Utilities
2026-02-13,UPI/DR/5956758/Kavita/Rohan@okhdfcbank,183975167271,486.47,0.0,242511.06,UPI - Sent
2026-02-13,POS/VISA/UBER,179259461026,3249.54,0.0,239261.52,Transport
2026-02-14,UPI/DR/1779203/Rahul/Amit@ybl,809635153062,463.99,0.0,238797.53,UPI - Sent
2026-02-15,UPI/DR/4004015/Kavita/Kavita@okhdfcbank,433670331254,2105.21,0.0,236692.32,UPI - Sent
2026-02-15,POS/VISA/ZOMATO,377470837308,603.46,0.0,236088.86,Food & Dining
2026-02-16,NEFT/CR/HDFC283700/FUNDS TRANSFER,145424634923,0.0,20262.18,256351.04,Bank Transfer - Credit
2026-02-17,POS/VISA/BIGBASKET,408877180672,1225.96,0.0,255125.08,Shopping / Groceries
2026-02-19,NEFT/TECH MAHINDRA/SALARY CREDIT,202946308354,0.0,66150.47,321275.55,Salary / Income
2026-02-20,UPI/DR/4156606/Suresh/Rahul@paytm,461467990358,1246.7,0.0,320028.85,UPI - Sent
2026-02-20,UPI/DR/8215594/Kavita/ Suresh@okhdfcbank,545699699578,2597.43,0.0,317431.42,UPI - Sent
2026-02-21,UPI/DR/1590987/Neha/Rohan@sbi,648709745211,1883.72,0.0,315547.7,UPI - Sent
2026-02-21,UPI/DR/7956693/Neha/Amit@ybl,635574905748,381.85,0.0,315165.85,UPI - Sent
2026-02-21,UPI/DR/6461221/Rohan/Rohan@paytm,607293452733,2842.24,0.0,312323.61,UPI - Sent
2026-02-22,UPI/DR/7610893/Amit/Priya@ybl,261281455424,1163.09,0.0,311160.52,UPI - Sent
2026-02-24,BIL/INB/ELECTRICITY UPPCL/895783,394238492851,2551.37,0.0,308609.15,Utilities
2026-02-25,UPI/CR/6903284/Kavita/Payment,639705335953,0.0,4393.67,313002.82,UPI - Received
2026-02-26,UPI/CR/3649887/Suresh/Payment,514650874781,0.0,2549.05,315551.87,UPI - Received
2026-02-27,UPI/DR/5200968/Suresh/Amit@paytm,622889527089,2121.58,0.0,313430.29,UPI - Sent
2026-02-27,UPI/CR/2092652/Kavita/Payment,463312058510,0.0,4413.65,317843.94,UPI - Received
2026-02-27,UPI/DR/6157174/Rohan/Anjali@sbi,821000167049,2910.47,0.0,314933.47,UPI - Sent
2026-03-01,UPI/DR/8886710/Kavita/Rahul@sbi,518903718101,2863.34,0.0,312070.13,UPI - Sent
2026-03-01,POS/VISA/FLIPKART,417487972975,4489.7,0.0,307580.43,Shopping / Groceries
2026-03-02,ATM/CASH WDL/SBI ATM 5906,585762979758,1000.0,0.0,306580.43,Cash Withdrawal
2026-03-02,UPI/DR/2607635/Neha/Suresh@sbi,422363577442,1088.22,0.0,305492.21,UPI - Sent
2026-03-02,UPI/DR/2571234/Neha/Kavita@icici,780247848027,2055.74,0.0,303436.47,UPI - Sent
2026-03-03,UPI/DR/6999107/Amit/Priya@paytm,614556980960,2705.6,0.0,300730.87,UPI - Sent
2026-03-05,UPI/DR/3160459/Suresh/ Kavita@okhdfcbank,567988351366,2077.13,0.0,298653.74,UPI - Sent
2026-03-05,UPI/CR/1227428/Suresh/Payment,424591345661,0.0,4967.11,303620.85,UPI - Received
2026-03-06,UPI/CR/9186482/Kavita/Payment,957643978300,0.0,3851.01,307471.86,UPI - Received
2026-03-07,POS/VISA/BIGBASKET,342031375564,3046.47,0.0,304425.39,Shopping / Groceries
2026-03-09,ATM/CASH WDL/SBI ATM 2591,824850767601,1000.0,0.0,303425.39,Cash Withdrawal
2026-03-09,ATM/CASH WDL/SBI ATM 3153,735798459372,2000.0,0.0,301425.39,Cash Withdrawal
2026-03-09,UPI/DR/6960835/Anjali/Rohan@okaxis,290763133216,618.37,0.0,300807.02,UPI - Sent
2026-03-11,BIL/INB/ELECTRICITY UPPCL/228008,921606376404,2675.99,0.0,298131.03,Utilities
2026-03-12,UPI/DR/8418448/Suresh/Anjali@okhdfcbank,348964222686,2583.22,0.0,295547.81,UPI - Sent
2026-03-13,UPI/DR/8419513/Rohan/Suresh@icici,598747015912,1118.39,0.0,294429.42,UPI - Sent
2026-03-14,POS/VISA/D MART,127794781513,2978.19,0.0,291451.23,Shopping / Groceries
2026-03-15,UPI/DR/8727049/Rohan/ Suresh@okhdfcbank,796056217061,2475.09,0.0,288976.14,UPI - Sent
2026-03-15,BIL/INB/ELECTRICITY UPPCL/692221,226669858209,742.98,0.0,288233.16,Utilities
2026-03-16,UPI/CR/7460452/Amit/Payment,867695941207,0.0,4756.88,292990.04,UPI - Received
2026-03-17,UPI/DR/4090294/Rahul/Anjali@okaxis,776411594991,1236.19,0.0,291753.85,UPI - Sent
2026-03-18,BIL/INB/ELECTRICITY UPPCL/506671,498811121833,748.39,0.0,291005.46,Utilities
2026-03-19,UPI/DR/8028357/Rahul/Rahul@ybl,200737244056,1995.05,0.0,289010.41,UPI - Sent
2026-03-20,ATM/CASH WDL/SBI ATM 4394,173895795270,10000.0,0.0,279010.41,Cash Withdrawal
2026-03-20,UPI/DR/4006598/Amit/Amit@sbi,963922166853,2703.58,0.0,276306.83,UPI - Sent
2026-03-21,UPI/DR/9691220/Neha/Anjali@okhdfcbank,129491169126,412.77,0.0,275894.06,UPI - Sent
2026-03-21,UPI/DR/1719220/Kavita/Kavita@ybl,562747155483,1587.73,0.0,274306.33,UPI - Sent
2026-03-21,UPI/CR/8252781/Rohan/Payment,778370394729,0.0,695.14,275001.47,UPI - Received
2026-03-23,BIL/INB/ELECTRICITY UPPCL/883789,569876368241,2215.24,0.0,272786.23,Utilities
2026-03-24,IMPS/DR/40118969/Anjali/Transfer,767103390612,3076.67,0.0,269709.56,Bank Transfer - Credit
2026-03-25,UPI/CR/9723043/Priya/Payment,655999474067,0.0,3224.42,272933.98,UPI - Received
2026-03-26,UPI/CR/5400344/Suresh/Payment,551952938516,0.0,2025.19,274959.17,UPI - Received
2026-03-26,UPI/DR/8522748/Kavita/Priya@okhdfcbank,382029490777,1135.42,0.0,273823.75,UPI - Sent
2026-03-26,UPI/DR/7104441/Rahul/Anjali@icici,914946804206,1130.49,0.0,272693.26,UPI - Sent
2026-03-26,UPI/DR/1589315/Rohan/Rohan@ybl,567078914303,2606.91,0.0,270086.35,UPI - Sent
2026-03-27,UPI/CR/2196031/Anjali/Payment,822219066762,0.0,2669.85,272756.2,UPI - Received
2026-03-28,ATM/CASH WDL/SBI ATM 1430,347278876628,5000.0,0.0,267756.2,Cash Withdrawal
2026-03-29,UPI/DR/4837116/Rahul/Amit@okaxis,940536690954,940.77,0.0,266815.43,UPI - Sent
2026-03-30,UPI/DR/5132408/Suresh/Kavita@ybl,198915919054,2243.41,0.0,264572.02,UPI - Sent
2026-03-30,UPI/DR/1927550/Rahul/Amit@okaxis,951796738503,2825.39,0.0,261746.63,UPI - Sent
2026-03-31,UPI/DR/5879386/Suresh/Rohan@okaxis,827752628746,1283.56,0.0,260463.07,UPI - Sent
2026-03-31,UPI/DR/6776156/Rohan/Rahul@okaxis,844245876540,2041.89,0.0,258421.18,UPI - Sent
2026-04-01,UPI/DR/2536195/Rohan/Rohan@ybl,431590472439,2837.07,0.0,255584.11,UPI - Sent
2026-04-01,UPI/CR/8753815/Neha/Payment,290828210234,0.0,1081.34,256665.45,UPI - Received
2026-04-02,UPI/DR/7327047/Suresh/Suresh@icici,146136716197,1319.93,0.0,255345.52,UPI - Sent
2026-04-04,UPI/DR/6051660/Anjali/Priya@paytm,286078462460,2407.94,0.0,252937.58,UPI - Sent
2026-04-04,UPI/DR/4430412/Anjali/Neha@ybl,677245536519,254.37,0.0,252683.21,UPI - Sent
2026-04-04,UPI/CR/9542944/Anjali/Payment,680310325648,0.0,2794.78,255477.99,UPI - Received
2026-04-05,BIL/INB/ELECTRICITY UPPCL/259355,996125354020,869.22,0.0,254608.77,Utilities
2026-04-06,UPI/DR/2935971/Kavita/Kavita@sbi,933880226158,2282.27,0.0,252326.5,UPI - Sent
2026-04-08,BIL/INB/ELECTRICITY UPPCL/454869,806799110299,2088.25,0.0,250238.25,Utilities
2026-04-09,UPI/DR/4040679/Rahul/Anjali@sbi,587345305175,1901.53,0.0,248336.72,UPI - Sent
2026-04-09,UPI/CR/1828373/Priya/Payment,160291064054,0.0,2159.32,250496.04,UPI - Received
2026-04-11,UPI/CR/5940974/Neha/Payment,971681786757,0.0,3825.14,254321.18,UPI - Received
2026-04-12,UPI/CR/1932622/Amit/Payment,594186984574,0.0,965.76,255286.94,UPI - Received
2026-04-12,POS/VISA/BIGBASKET,585292589726,2596.27,0.0,252690.67,Shopping / Groceries
2026-04-12,UPI/DR/8444826/Rahul/Anjali@okhdfcbank,526416780991,1238.13,0.0,251452.54,UPI - Sent
2026-04-14,UPI/CR/8252119/Amit/Payment,410897925931,0.0,1633.98,253086.52,UPI - Received
2026-04-15,UPI/CR/8288494/Suresh/Payment,440804885228,0.0,4854.63,257941.15,UPI - Received
2026-04-15,POS/VISA/OLA,439666281776,2735.69,0.0,255205.46,Transport
2026-04-15,POS/VISA/D MART,915816619507,4488.66,0.0,250716.8,Shopping / Groceries
2026-04-16,POS/VISA/UBER,497320932658,572.92,0.0,250143.88,Transport
2026-04-16,UPI/DR/2546187/Amit/Priya@ybl,635866560574,592.18,0.0,249551.7,UPI - Sent
2026-04-16,ATM/CASH WDL/SBI ATM 1618,915335631275,10000.0,0.0,239551.7,Cash Withdrawal
2026-04-18,UPI/DR/8637798/Amit/Kavita@okhdfcbank,269121724065,503.5,0.0,239048.2,UPI - Sent
2026-04-19,POS/VISA/AIRTEL,771922717098,1639.71,0.0,237408.49,Mobile & Recharge
2026-04-20,UPI/DR/5045602/Kavita/Kavita@ybl,993205436233,2357.42,0.0,235051.07,UPI - Sent
2026-04-21,UPI/CR/7648663/Amit/Payment,280243749279,0.0,4176.01,239227.08,UPI - Received
2026-04-22,POS/VISA/FLIPKART,511776196814,2718.16,0.0,236508.92,Shopping / Groceries
2026-04-22,UPI/DR/2611186/Suresh/Priya@okaxis,397041279675,1358.97,0.0,235149.95,UPI - Sent
2026-04-23,BIL/INB/ELECTRICITY UPPCL/359304,157616543512,1491.13,0.0,233658.82,Utilities
2026-04-24,UPI/DR/8852882/Anjali/Amit@okaxis,448013415558,2793.86,0.0,230864.96,UPI - Sent
2026-04-25,IMPS/DR/87635331/Kavita/Transfer,866533357163,12635.55,0.0,218229.41,Bank Transfer - Credit
2026-04-26,UPI/DR/2667948/Suresh/Priya@ybl,117520141303,782.65,0.0,217446.76,UPI - Sent
2026-04-26,UPI/DR/6051861/Priya/Priya@paytm,560585590540,1924.08,0.0,215522.68,UPI - Sent
2026-04-27,UPI/CR/1018435/Anjali/Payment,887018131529,0.0,1146.1,216668.78,UPI - Received
2026-04-27,UPI/DR/4993231/Priya/Rahul@paytm,837292860632,275.13,0.0,216393.65,UPI - Sent
2026-04-28,POS/VISA/AMAZON PAY,512235425357,1514.6,0.0,214879.05,Shopping / Groceries
2026-04-29,UPI/DR/7389687/Anjali/Amit@okhdfcbank,824702463434,1892.21,0.0,212986.84,UPI - Sent
2026-05-01,UPI/DR/6097468/Kavita/Amit@okaxis,291739347185,2494.54,0.0,210492.3,UPI - Sent
2026-05-01,ATM/CASH WDL/SBI ATM 4302,140620424485,2000.0,0.0,208492.3,Cash Withdrawal
2026-05-01,IMPS/DR/70050259/Kavita/Transfer,663972481559,6575.14,0.0,201917.16,Bank Transfer - Credit
2026-05-02,ATM/CASH WDL/SBI ATM 1783,414353395606,2000.0,0.0,199917.16,Cash Withdrawal
2026-05-04,UPI/DR/5842288/Suresh/Anjali@okaxis,578322000167,2670.67,0.0,197246.49,UPI - Sent
2026-05-05,UPI/CR/1936352/Suresh/Payment,980143211604,0.0,2836.74,200083.23,UPI - Received
2026-05-05,POS/VISA/OLA,301100424526,2681.9,0.0,197401.33,Transport
